iso3,name,share_year,share_below5m,pop2023,region,income,pop_below5m,status,agency,system,corpus_gauges,test_gauges
NGA,Nigeria,2015,3.52576087697703,227882945,Sub-Saharan Africa ,Lower middle income,8034607.720113083,none_found,NiMet / NIHSA,,0,0
USA,United States,2015,1.98031592664396,336755052,North America,High income,6668813.928534149,national,NOAA National Weather Service / National Hurricane Center,P-Surge (SLOSH ensemble); Storm Surge Watch/Warning; Potential Storm Surge Flooding Map,200,11
BRA,Brazil,2015,2.23302391070075,211140729,Latin America & Caribbean ,Upper middle income,4714822.963797873,none_found,"Marinha do Brasil, Centro de Hidrografia da Marinha (CHM)",Aviso de Ressaca (waves >2.5 m at the coast) and Avisos de Mau Tempo (wind/wave based),4,1
MMR,Myanmar,2015,6.81173845504917,54133798,East Asia & Pacific,Lower middle income,3687452.7355446382,regional_only,via RSMC New Delhi (IMD); Department of Meteorology and Hydrology (DMH) issues cyclone warnings,,0,0
MYS,Malaysia,2015,10.125909006039,35126298,East Asia & Pacific,Upper middle income,3556856.9726700974,regional_only,via RSMC Tokyo (JMA Storm Surge Watch Scheme); MetMalaysia has no surge product,JMA SSWS storm surge distribution maps,17,2
ARE,United Arab Emirates,2015,26.7198219315291,10483751,"Middle East, North Africa, Afghanistan & Pakistan",High income,2801239.5989449015,regional_only,via RSMC New Delhi (WMO/ESCAP Panel member); National Center of Meteorology (NCM),,0,0
ITA,Italy,2015,3.81654106895182,58984216,Europe & Central Asia,High income,2251156.8278392507,national,ISPRA Area Maree e Lagune (national institute) with CNR-ISMAR; the Comune di Venezia CPSM runs the local Venice service,ISPRA statistical tide model (2008) and SHYFEM deterministic surge model (2012) for Venice and the northern Adriatic; SIMM,23,0
TUR,Turkiye,2015,2.58616013593939,85325965,Europe & Central Asia,Upper middle income,2206666.0924355965,none_found,Meteoroloji Genel Mudurlugu (MGM) checked,,0,0
IRQ,Iraq,2015,4.59009995154453,45074049,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2068943.9013081575,none_found,Iraqi Meteorological Organization and Seismology,,0,0
ESP,Spain,2015,3.99842632128181,48352528,Europe & Central Asia,High income,1933340.206557157,national,Puertos del Estado (Ministry of Transport); AEMET is not the provider,Nivmar (HAMSOM 2D barotropic) plus multi-model BMA with CMEMS since April 2018,28,6
GBR,United Kingdom,2015,2.74511866286225,68526000,Europe & Central Asia,High income,1881120.0149129855,national,"UK Coastal Monitoring and Forecasting (UKCMF) partnership led by the Environment Agency: Met Office, Flood Forecasting Centre, National Oceanography Centre",NOC tide-surge model run at the Met Office (NEMO AMM7 since 2021; formerly POLCS3),50,3
DEU,Germany,2015,1.99002924234282,83287273,Europe & Central Asia,High income,1657441.0878498962,national,"Bundesamt fuer Seeschifffahrt und Hydrographie (BSH), with DWD",Sturmflutwarndienst and Wasserstandsvorhersagedienst Nordsee and Ostsee (BSH operational model),8,0
FRA,France,2015,2.08138306935594,68372286,Europe & Central Asia,High income,1423089.1849356217,national,Meteo-France with SHOM (HOMONIM project),"Vigilance vagues-submersion; Hycom2D surge model (ATL and MED domains, about 1 km on the coast)",28,6
RUS,Russian Federation,2015,0.963520751664424,143826130,Europe & Central Asia,High income,1385794.6088658515,national,"Roshydromet: Hydrometcentre of Russia, Department of Marine Hydrological Forecasts, with regional UGMS",Storm warnings for dangerous marine phenomena incl. storm surges (shtormovye nagony); St Petersburg flood barrier (KZS) closures,2,0
MEX,Mexico,2015,1.05110878855813,129739759,Latin America & Caribbean ,Upper middle income,1363706.0091031373,national,SMN-CONAGUA with UNAM Centro de Ciencias de la Atmosfera,SIPROMAT (WRF + ADCIRC storm surge + WaveWatch III),4,1
MDG,Madagascar,2015,4.29460833953867,31195932,Sub-Saharan Africa ,Low income,1339743.0972688128,regional_only,via RSMC La Reunion (Meteo-France); Direction Generale de la Meteorologie issues national cyclone alerts,,0,0
ECU,Ecuador,2015,7.21542013422517,17980083,Latin America & Caribbean ,Upper middle income,1297338.528932397,none_found,INOCAR (Armada del Ecuador); INAMHI,,5,0
PRK,"Korea, Dem. People's Rep.",2015,4.89204847762075,26418204,East Asia & Pacific,Low income,1292391.3465967441,regional_only,via RSMC Tokyo (JMA Storm Surge Watch Scheme); State Hydro-Meteorological Administration,JMA SSWS storm surge maps; KCNA-reported SHMA 'tidal wave' forecasts,0,0
SEN,Senegal,2015,7.02540265689155,18077573,Sub-Saharan Africa ,Lower middle income,1270022.2938435094,none_found,ANACIM,,1,1
COL,Colombia,2015,2.34105613545381,52321152,Latin America & Caribbean ,Upper middle income,1224867.5390361138,national,DIMAR / CIOH (Servicio Meteorologico Marino Nacional) with IDEAM,coastal-flooding probability forecast model (announced 2025); SIPSEM marine forecast system,2,0
VEN,"Venezuela, RB",2015,4.06639772093371,28300854,Latin America & Caribbean ,Lower middle income,1150825.2820607766,none_found,INAMEH,,0,0
PAK,Pakistan,2015,0.448811415274458,247504495,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1110828.4268774001,national,Pakistan Meteorological Department (Tropical Cyclone Warning Centre Karachi),Quantitative storm surge forecasts within PMD cyclone alerts; surge model not documented (IIT PC surge model training 2003),0,0
KOR,"Korea, Rep.",2015,2.13367182802107,51712619,East Asia & Pacific,High income,1103377.5831348712,national,Korea Meteorological Administration (KMA); KHOA tide and surge observations,Storm surge advisory and warning (pokpung-haeil special weather report),0,0
TUN,Tunisia,2015,8.94186702264794,12200431,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,1090946.3162099165,none_found,Institut National de la Meteorologie (INM),,0,0
SAU,Saudi Arabia,2015,3.20801656221606,33702731,"Middle East, North Africa, Afghanistan & Pakistan",High income,1081189.1923991265,regional_only,via RSMC New Delhi (WMO/ESCAP Panel member); National Center for Meteorology (NCM) issues marine forecasts,,0,0
MRT,Mauritania,2015,21.0047730040337,5022441,Sub-Saharan Africa ,Lower middle income,1054952.3313115204,not_assessed,,,0,0
BEN,Benin,2015,7.25427232711727,14111034,Sub-Saharan Africa ,Lower middle income,1023652.8345321092,none_found,Meteo Benin (NMHS); legacy CNDO-Benin/IRHOB 'Alerte Ocean',,0,0
CIV,Cote d'Ivoire,2015,3.26601676991083,31165654,Sub-Saharan Africa ,Lower middle income,1017875.4860923853,none_found,SODEXAM (Direction de la Meteorologie Nationale),,0,0
AUS,Australia,2015,3.6013357263928,26659922,East Asia & Pacific,High income,960113.2956144538,national,Bureau of Meteorology (Tropical Cyclone Warning Centres),Australian Storm Surge Forecasting System (SEAtide; tropical ensemble storm surge prediction system),88,10
MOZ,Mozambique,2015,2.79978954807574,33635160,Sub-Saharan Africa ,Low income,941713.6941585521,national,Instituto Nacional de Meteorologia (INAM),"FEWS-INAM National Coastal Forecasting System (Delft-FEWS; 3-day tide and surge water levels, waves, wind)",0,0
LKA,Sri Lanka,2015,3.83269502133841,22037000,South Asia,Upper middle income,844611.0018523454,regional_only,via RSMC New Delhi (IMD); Department of Meteorology Sri Lanka relays,RSMC New Delhi tropical cyclone and storm surge advisories,0,0
IRN,"Iran, Islamic Rep.",2015,0.928610379790746,90608707,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,841401.8581961842,regional_only,via RSMC New Delhi (WMO/ESCAP Panel member); IRIMO / INIOAS,,0,0
PNG,Papua New Guinea,2015,7.56072060559768,10389635,East Asia & Pacific,Lower middle income,785531.2742913886,none_found,Papua New Guinea National Weather Service (TCWC Port Moresby),,1,0
DNK,Denmark,2015,12.5703443745095,5946952,Europe & Central Asia,High income,747552.3461867801,national,Danmarks Meteorologiske Institut (DMI),"Stormflodsvarsling; DMI storm surge model (2017 version, 5-day, updated every 6 h)",18,2
GHA,Ghana,2015,2.1287841350265,33787914,Sub-Saharan Africa ,Lower middle income,719271.7527883978,none_found,Ghana Meteorological Agency (GMet),,0,0
CMR,Cameroon,2015,2.29087878478046,28372687,Sub-Saharan Africa ,Lower middle income,649983.8671551635,none_found,Direction de la Meteorologie Nationale (DMN),,0,0
GUY,Guyana,2015,78.4831581251732,826353,Latin America & Caribbean ,High income,648547.9316621125,none_found,"Hydrometeorological Service, Ministry of Agriculture",,0,0
BEL,Belgium,2015,5.48301366791854,11779946,Europe & Central Asia,High income,645896.0492534233,national,"Agentschap Maritieme Dienstverlening en Kust (MDK), Afdeling Kust, with Flanders Hydraulics Research",Stormvloedwaarschuwing (storm surge warning service; alert states from 5.40 m TAW at Oostende),0,0
SOM,"Somalia, Fed. Rep.",2015,3.51773871040259,18358615,Sub-Saharan Africa ,Low income,645808.1065487765,regional_only,via FAO-SWALIM (donor-run) cyclone updates; Hydro-met Dept of MoEWR / SoDMA relay alerts,,0,0
LBR,Liberia,2015,11.7318691364715,5493031,Sub-Saharan Africa ,Low income,644435.2085458118,none_found,Liberia Meteorological Service (LMS) / Liberia Hydrological Service,,0,0
YEM,"Yemen, Rep.",2015,1.58086369450412,39390799,"Middle East, North Africa, Afghanistan & Pakistan",Low income,622714.8403660919,regional_only,via RSMC New Delhi (WMO/ESCAP Panel member); Civil Aviation and Meteorology Authority (CAMA),,0,0
POL,Poland,2015,1.58578229608631,36687353,Europe & Central Asia,High income,581781.5487766897,national,"IMGW-PIB, Wydzial Prognoz i Opracowan Hydrologicznych w Gdyni (Baltic marine service)","Mike 21 hydrodynamic model and Wroblewski statistical model, 72 h sea level forecasts for Swinoujscie, Hel, Gdynia; hydrological warnings for storm surges",1,0
CAN,Canada,2015,1.44116830882438,40049088,North America,High income,577174.7642291877,national,Environment and Climate Change Canada (MSC; Canadian Hurricane Centre),"Regional Ensemble Storm Surge Prediction System (RESPS, DalCoast model)",64,3
DZA,Algeria,2015,1.2456681044134,46164219,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,575052.9517345506,none_found,Office National de la Meteorologie (ONM),,0,0
AGO,Angola,2015,1.53305214067655,36749906,Sub-Saharan Africa ,Lower middle income,563395.2206296199,none_found,Instituto Nacional de Meteorologia e Geofisica (INAMET),,0,0
HKG,"Hong Kong SAR, China",2015,7.28685820893967,7536100,East Asia & Pacific,High income,549144.9214839025,national,Hong Kong Observatory,SLOSH storm surge prediction (probabilistic ECMWF-EPS version since 2014),0,0
MAR,Morocco,2015,1.44726242907171,37712505,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,545798.9159267901,none_found,Direction Generale de la Meteorologie (DGM),,0,0
SWE,Sweden,2015,5.12805059212315,10536632,Europe & Central Asia,High income,540323.8196658373,national,Sveriges meteorologiska och hydrologiska institut (SMHI),Varning for hogt vattenstand (yellow/orange/red); NEMO-Nordic ocean model,23,4
ERI,Eritrea,2015,15.4855376134057,3470390,Sub-Saharan Africa ,Low income,537408.54878187,none_found,,,0,0
GRC,Greece,2015,5.10819938614292,10407351,Europe & Central Asia,High income,531628.2398957391,national,"Hellenic Centre for Marine Research (HCMR), POSEIDON system; no HNMS surge warning found","POSEIDON Sea Level Forecast (POM-based, model id pomsl), one of five forecast services",0,0
BHR,Bahrain,2015,32.9847026314836,1577059,"Middle East, North Africa, Afghanistan & Pakistan",High income,520188.2214730489,not_assessed,,,1,0
LBY,Libya,2015,6.83376098719048,7305659,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,499251.2745991702,none_found,Libyan National Meteorological Centre (LNMC),,0,0
HTI,Haiti,2015,4.07394014873398,11637398,Latin America & Caribbean ,Lower middle income,474100.6293899652,regional_only,via RSMC Miami / NOAA NHC (CIFDP-Caribbean products),CIFDP-Caribbean SLOSH scenario products for Hispaniola,0,0
ARG,Argentina,2015,1.02928663774484,45538401,Latin America & Caribbean ,Upper middle income,468720.6765356626,national,"Servicio de Hidrografia Naval (SHN), Centro de Prevencion de Crecidas, with SMN",Modelo de Altura Total del Agua (2D hydrodynamic tide plus surge) and Avisos y Alertas Mareologicos Rio de la Plata,2,1
SUR,Suriname,2015,71.2830600989543,628886,Latin America & Caribbean ,Upper middle income,448289.18533390976,none_found,Meteorologische Dienst Suriname (MDS),,0,0
UKR,Ukraine,2015,1.06733382993239,37732836,Europe & Central Asia,Upper middle income,402735.3236209076,none_found,Ukrainian Hydrometeorological Center (UkrHMC) checked,,0,0
NOR,Norway,2015,7.15075669196258,5519601,Europe & Central Asia,High income,394693.2378771335,national,"Meteorologisk institutt (MET Norway), with Kartverket","Farevarsel for hoy vannstand (stormflo) on Yr, yellow/orange/red; Kartverket Se havniva",23,2
KHM,Cambodia,2015,2.00470704447948,17423880,East Asia & Pacific,Lower middle income,349297.7497816512,regional_only,via RSMC Tokyo (JMA Storm Surge Watch Scheme); MOWRAM Department of Meteorology relays,JMA SSWS storm surge distribution maps for Typhoon Committee Members,0,0
OMN,Oman,2015,6.84452843415434,5049269,"Middle East, North Africa, Afghanistan & Pakistan",High income,345598.6524219405,national,Directorate General of Meteorology (DGMET) / National Multi-Hazard Early Warning Centre (Civil Aviation Authority),Hydrodynamic storm surge simulations within NMHEWS Tropical Cyclone Early Warning System,2,1
GIN,Guinea,2015,2.34686602584341,14405468,Sub-Saharan Africa ,Lower middle income,338077.03435574414,none_found,Agence Nationale de la Meteorologie (ANM; ex-DNM),,0,0
SLE,Sierra Leone,2015,3.5364199304646,8460512,Sub-Saharan Africa ,Low income,299199.23258734914,none_found,Sierra Leone Meteorological Agency (SLMet),,0,0
CUB,Cuba,2015,2.50495003993379,11019931,Latin America & Caribbean ,Upper middle income,276043.76598517614,national,"Instituto de Meteorologia (INSMET), Centro de Pronosticos / Centro de Meteorologia Marina",INSMET hurricane coastal-flooding forecast combining numerical models (MODSUR surge model),0,0
PAN,Panama,2015,6.00466167962404,4458759,Latin America & Caribbean ,High income,267733.39305978804,none_found,IMHPA; SINAPROC,,2,0
JAM,Jamaica,2015,9.15485047135585,2839786,Latin America & Caribbean ,Upper middle income,259978.16200649747,regional_only,via RSMC Miami (NHC); Meteorological Service of Jamaica relays,,0,0
MDV,Maldives,2015,49.170829688905,525994,South Asia,Upper middle income,258635.61391385898,regional_only,via RSMC New Delhi (IMD); Maldives Meteorological Service issues swell alerts,MMS swell-wave colour alerts; RSMC New Delhi storm surge advisories,3,1
PRI,Puerto Rico (US),2015,8.05715862970199,3203794,Latin America & Caribbean ,High income,258134.76474887456,not_assessed,,,0,0
SDN,Sudan,2015,0.508642210659131,50042791,Sub-Saharan Africa ,Low income,254538.75841792865,none_found,Sudan Meteorological Authority,,0,0
FIN,Finland,2015,4.55613658391432,5583911,Europe & Central Asia,High income,254410.61188421593,national,Finnish Meteorological Institute (Ilmatieteen laitos),"Sea water level warnings (merivedenkorkeusvaroitus) for 14 coastal stations, up to 5 days",13,0
TZA,Tanzania,2015,0.367999549136882,66617606,Sub-Saharan Africa ,Lower middle income,245152.48972578446,none_found,Tanzania Meteorological Authority (TMA),,1,0
GAB,Gabon,2015,9.52729723911365,2484789,Sub-Saharan Africa ,Upper middle income,236733.2337947997,none_found,Direction Generale de la Meteorologie (DGM),,0,0
KWT,Kuwait,2015,4.75710089918604,4853420,"Middle East, North Africa, Afghanistan & Pakistan",High income,230882.0864612751,none_found,Kuwait Meteorological Department (Kuwait Meteorological Center),,0,0
KEN,Kenya,2015,0.409713227470306,55339003,Sub-Saharan Africa ,Lower middle income,226731.21524118943,none_found,Kenya Meteorological Department (KMD),,2,1
PER,Peru,2015,0.661118653974335,33845617,Latin America & Caribbean ,Upper middle income,223759.68753970868,none_found,"Direccion de Hidrografia y Navegacion (DHN), Marina de Guerra",,6,2
ALB,Albania,2015,9.15110167982407,2411658,Europe & Central Asia,Upper middle income,220693.27574961155,not_assessed,,,0,0
DOM,Dominican Republic,2015,1.84398033192546,11331265,Latin America & Caribbean ,Upper middle income,208946.29795835348,regional_only,via RSMC Miami / NOAA NHC (products used by ONAMET),CIFDP-Caribbean: NHC pre-computed SLOSH surge scenarios with wave overlay for Hispaniola,0,0
HND,Honduras,2015,1.82227588839704,10644851,Latin America & Caribbean ,Lower middle income,193978.5531287912,regional_only,via RSMC Miami (NHC); CENAOS-COPECO relays,,0,0
LVA,Latvia,2015,10.2259175988653,1883710,Europe & Central Asia,High income,192626.63240158555,national,"Latvijas Vides, geologijas un meteorologijas centrs (LVGMC)","Water level rise warnings incl. 'piekraste vejuzpludu laika' (coast during wind surges), yellow/orange/red",2,0
CHL,Chile,2015,0.958467364431253,19658835,Latin America & Caribbean ,High income,188423.51770238872,none_found,SHOA; Servicio Meteorologico de la Armada (Directemar),,7,3
QAT,Qatar,2015,6.74901542925335,2656032,"Middle East, North Africa, Afghanistan & Pakistan",High income,179256.00948590637,regional_only,via RSMC New Delhi (WMO/ESCAP Panel member); Qatar Meteorology Department (QMD),,0,0
NZL,New Zealand,2015,3.28780797652116,5200000,East Asia & Pacific,High income,170966.0147791003,national,NIWA (Earth Sciences New Zealand) with MetService,NIWA storm surge and wave forecasting (NIWA Forecast; Sumner Head service for Christchurch City Council),10,0
LBN,Lebanon,2015,2.95352811814315,5773493,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,170521.7391540265,not_assessed,,,0,0
FJI,Fiji,2015,18.2646769725551,924145,East Asia & Pacific,Upper middle income,168792.09900801934,national,Fiji Meteorological Service (FMS),"CIFDP-Fiji coastal inundation forecasting system (storm surge, Coral Coast inundation, Nadi River flood)",2,1
ISR,Israel,2015,1.70248770424203,9849000,"Middle East, North Africa, Afghanistan & Pakistan",High income,167678.01399079754,not_assessed,,,0,0
HRV,Croatia,2015,4.31367326892496,3859686,Europe & Central Asia,High income,166494.24324643903,not_assessed,,,1,0
IRL,Ireland,2015,2.79860140235064,5311538,Europe & Central Asia,High income,148648.77695438714,national,"Met Eireann Flood Forecasting Centre (FFC), with the Office of Public Works",FFC national and catchment-level coastal and river flood forecasts; Tide and Storm Surge Forecast (TSSF) model trialled on ECMWF HPC,6,1
GEO,Georgia,2015,3.85225301774937,3715483,Europe & Central Asia,Upper middle income,143129.80599146482,not_assessed,,,0,0
SLB,Solomon Islands,2015,17.8637860466646,800005,East Asia & Pacific,Lower middle income,142911.18156261914,regional_only,via RSMC Nadi (Fiji Meteorological Service); Solomon Islands Meteorological Service issues national TC warnings,Swell Advisory (no surge or inundation product),1,0
BLZ,Belize,2015,33.8562563835843,411106,Latin America & Caribbean ,Upper middle income,139185.10136829808,regional_only,via RSMC Miami (NHC); National Meteorological Service of Belize,,0,0
PRT,Portugal,2015,1.28990060760989,10578174,Europe & Central Asia,High income,136447.9307000314,none_found,IPMA and Instituto Hidrografico checked,,5,1
DJI,Djibouti,2015,11.0745910622314,1152944,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,127683.8331765332,none_found,Agence Nationale de la Meteorologie (ANM),,0,0
ZAF,South Africa,2015,0.199446537696018,63212384,Sub-Saharan Africa ,Upper middle income,126074.91128311165,national,South African Weather Service (SAWS Marine Unit),SAWS Wave and Storm Surge model (SWaSS; Delft3D-FLOW coupled online with SWAN),11,2
NIC,Nicaragua,2015,1.7969652670308,6823613,Latin America & Caribbean ,Lower middle income,122617.95556659838,regional_only,via RSMC Miami (NHC); INETER,,0,0
MAC,"Macao SAR, China",2015,17.2292800165371,678800,East Asia & Pacific,High income,116952.35275225384,not_assessed,,,0,0
GMB,"Gambia, The",2015,4.3101211111681,2697845,Sub-Saharan Africa ,Low income,116280.38689159302,none_found,Department of Water Resources (DWR),,0,0
GNQ,Equatorial Guinea,2015,5.66273195374869,1847549,Sub-Saharan Africa ,Upper middle income,104621.74758416438,none_found,INAMET / Direccion General de Meteorologia,,0,0
CRI,Costa Rica,2015,2.00237495832442,5105525,Latin America & Caribbean ,High income,102231.75409099285,none_found,"IMN; MIO-CIMAR (Universidad de Costa Rica, official oceanographic entity of CNE)",,0,0
GNB,Guinea-Bissau,2015,4.53961279050343,2153339,Sub-Saharan Africa ,Low income,97753.25266689865,none_found,Instituto Nacional de Meteorologia (INM),,0,0
BRN,Brunei Darussalam,2015,20.870967238675,458949,East Asia & Pacific,High income,95787.09543222653,none_found,Brunei Darussalam Meteorological Department,,0,0
SYR,Syrian Arab Republic,2015,0.395647772609014,23594623,"Middle East, North Africa, Afghanistan & Pakistan",Low income,93351.60035499412,not_assessed,,,0,0
TGO,Togo,2015,1.13307317742222,8223850,Sub-Saharan Africa ,Lower middle income,93182.23850143724,none_found,Agence Nationale de la Meteorologie (ANAMET),,0,0
BGR,Bulgaria,2015,1.33967587036816,6446596,Europe & Central Asia,High income,86363.49107211898,none_found,NIMH and IO-BAS checked,,0,0
URY,Uruguay,2015,2.20275964776308,3388081,Latin America & Caribbean ,High income,74631.28110152784,none_found,INUMET; SOHMA (Armada Nacional),,0,0
ROU,Romania,2015,0.328334085786211,19061062,Europe & Central Asia,High income,62583.96365884286,national,INCDM 'Grigore Antipa' (national marine research institute); ANM issues weather warnings only,"Prognoze oceanografice (currents, waves, water level, pollutant dispersion) from numerical models and real-time data",0,0
COG,"Congo, Rep.",2015,0.944060135733029,6182885,Sub-Saharan Africa ,Lower middle income,58370.15252321709,none_found,ANAC / Direction de la Meteorologie Nationale,,0,0
TTO,Trinidad and Tobago,2015,4.01763777597218,1367510,Latin America & Caribbean ,High income,54941.598350197164,regional_only,via RSMC Miami (NHC); Trinidad and Tobago Meteorological Service,,0,0
SLV,El Salvador,2015,0.867601174074275,6309624,Latin America & Caribbean ,Upper middle income,54742.371903672225,none_found,"MARN, Servicio Oceanografico Nacional (SNET)",,1,0
CYP,Cyprus,2015,4.04474158997971,1344976,Europe & Central Asia,High income,54400.8036472455,not_assessed,,,0,0
BHS,"Bahamas, The",2015,12.8571394251619,399440,Latin America & Caribbean ,High income,51356.557719866694,national,Bahamas Department of Meteorology,TELEMAC-2D hurricane surge and inundation model (HR Wallingford),1,0
KIR,Kiribati,2015,33.5281166700452,132530,East Asia & Pacific,Lower middle income,44434.8130228109,none_found,Kiribati Meteorological Service (SPC/WMO CREWS inundation forecast system in development),,2,1
LTU,Lithuania,2015,1.54171360273301,2871585,Europe & Central Asia,High income,44271.61655904071,national,Lietuvos hidrometeorologijos tarnyba (LHMT) with Klaipeda University Marine Research Institute,"Marine hydrological forecast incl. water level for SE Baltic and Curonian Lagoon (KU operational hydrodynamic model, 5 days, twice daily)",0,0
ISL,Iceland,2015,11.3135349757772,385663,Europe & Central Asia,High income,43632.11839363162,none_found,Vedurstofa Islands (IMO) checked,,0,0
TLS,Timor-Leste,2015,2.96618589653714,1384286,East Asia & Pacific,Lower middle income,41060.49609973811,none_found,Direcao Nacional de Meteorologia e Geofisica (DNMG),,0,0
PYF,French Polynesia,2015,14.552412149152,281118,East Asia & Pacific,High income,40909.44998545312,not_assessed,,,0,0
SGP,Singapore,2015,0.663277632041967,5917648,East Asia & Pacific,High income,39250.43552697882,national,Meteorological Service Singapore (NEA) with Tropical Marine Science Institute (NUS),Stormy (Sunda Shelf and Singapore Strait storm surge forecast system),1,0
GTM,Guatemala,2015,0.206295001583779,18124838,Latin America & Caribbean ,Upper middle income,37390.63483915738,none_found,INSIVUMEH (Departamento de Oceanografia),,0,0
EST,Estonia,2015,2.61109485088201,1370286,Europe & Central Asia,High income,35779.46718835706,national,Keskkonnaagentuur (Estonian Environment Agency) with TalTech Institute of Marine Systems,"Merevee taseme prognoos (sea level forecast), 5 days, twice daily, linked to the agency warning system",3,1
SYC,Seychelles,2015,28.4831756677336,119773,Sub-Saharan Africa ,High income,34115.15399251456,regional_only,via RSMC La Reunion; Seychelles Meteorological Authority issues marine forecast and cyclone bulletins,,1,0
GRL,Greenland,2015,59.8627167311208,56865,Europe & Central Asia,High income,34040.93386915184,not_assessed,,,0,0
CPV,Cabo Verde,2015,6.45170487085517,522331,Sub-Saharan Africa ,Upper middle income,33699.254568986515,none_found,Instituto Nacional de Meteorologia e Geofisica (INMG),,1,0
VUT,Vanuatu,2015,10.1121351183602,320409,East Asia & Pacific,Lower middle income,32400.191011386734,regional_only,via RSMC Nadi (Fiji Meteorological Service); Vanuatu Meteorology and Geo-hazards Department issues national warnings,,1,0
NCL,New Caledonia,2015,10.8664539818011,289870,East Asia & Pacific,High income,31498.590157046852,not_assessed,,,0,0
SVN,Slovenia,2015,1.38309038211644,2120461,Europe & Central Asia,High income,29327.89214753008,not_assessed,,,0,0
MNE,Montenegro,2015,4.40624625277759,623529,Europe & Central Asia,Upper middle income,27474.22319748158,not_assessed,,,0,0
COM,Comoros,2015,3.21938427188237,850387,Sub-Saharan Africa ,Lower middle income,27377.225328132332,regional_only,via RSMC La Reunion (Meteo-France); ANACM Direction Technique de la Meteorologie issues alerts,,0,0
MHL,Marshall Islands,2015,67.9731196801868,38827,East Asia & Pacific,Upper middle income,26391.92317822613,regional_only,via NOAA/NWS (WFO Guam; WSO Majuro is a US NWS office),NWS coastal flood statements/advisories and high surf advisories,1,0
FSM,"Micronesia, Fed. Sts.",2015,23.2202307154668,112630,East Asia & Pacific,Upper middle income,26152.94585483026,regional_only,"via NOAA/NWS (WFO Guam; WSOs Pohnpei, Chuuk and Yap are US NWS offices)",NWS coastal flood and high surf products,3,1
GIB,Gibraltar,2015,56.4066671990183,38471,Europe & Central Asia,High income,21700.208938134332,not_assessed,,,0,0
