name,fold
contrecoeur_ioc-15780-can-meds,train
cooktown-h066003a-aus-bom,train
cordova-9454050-usa-noaa,train
cornwall_ontario-14870-can-meds,train
corpus_cristi_tx-770a-usa-uhslc,train
crescent_city_ca-556a-usa-uhslc,train
crookhaven_heads-215408-aus-bom,train
cruz-cruz-esp-ieo,train
culebra-9752235-usa-noaa,train
cutler_naval_base-8411250-usa-noaa,train
dauphin_island_al-763a-usa-uhslc,train
davao-372b-phl-uhslc,train
davis-173a-aus-uhslc,train
de_tour_village_mi-9075099-usa-noaa,train
delaware_city-8551762-usa-noaa,train
deschaillons-3335-can-meds,train
diego_garcia-104d-gbr-uhslc,train
discovery_bay_at_discovery_bay_blv-dbd-usa-cdwr,train
dry_dock_mi-9014087-usa-noaa,train
duck_pier_nc-260a-usa-uhslc,train
durban-181a-zaf-uhslc,train
dutch_harbor_ak-041b-usa-uhslc,train
easter-022c-chl-uhslc,train
eastport_me-740a-usa-uhslc,train
eden-60530-aus-bom,train
elfin_cove-9452634-usa-noaa,train
elhierro-elh-esp-cmems,train
erieau_ontario-12250-can-meds,train
esashiko-0140-jpn-jodc_pahb,train
esmeraldas-098a-ecu-uhslc,train
esperance-176a-aus-uhslc,train
esperanza-9752695-usa-noaa,train
essexville_mi-9075035-usa-noaa,train
exmouth-62435-aus-bom,train
fairport_oh-9063053-usa-noaa,train
faraday-700a-ata-uhslc,train
fishermans_landing-h052003b-aus-bom,train
flores_santa_cruz-210a-prt-uhslc,train
fort_denison-333a-aus-uhslc,train
fort_myers-8725520-usa-noaa,train
fort_point-8423898-usa-noaa,train
fort_wayne_mi-9044036-usa-noaa,train
french_frigate-014a-usa-uhslc,train
friday_harbor-9449880-usa-noaa,train
fuerteventura-fue-esp-cmems,train
fukaura-ma57-jpn-jodc_jma,train
fukue-ma50-jpn-jodc_jma,train
funchal-218b-prt-uhslc,train
fushikitoyamako-0107-jpn-jodc_pahb,train
galets_60minute-gal-fra-cmems,train
galveston_bay_entrance-8771341-usa-noaa,train
galveston_ppier-767a-usa-uhslc,train
gan-109a-mdv-uhslc,train
geelong-60770-aus-bom,train
geraldton-62290-aus-bom,train
geting-326a-mys-uhslc,train
gladstone-59750-aus-bom,train
gloucester_point-8637624-usa-noaa,train
gobo-ma68-jpn-jodc_jma,train
goderich_ontario-11860-can-meds,train
gold_coast_southport-60051-aus-bom,train
gomera-gom-esp-cmems,train
goods_island-58200-aus-bom,train
grand_isle_la-765a-usa-uhslc,train
green_bay_wi-9087079-usa-noaa,train
groote_eylandt-145a-aus-uhslc,train
gros_cap_ontario-10920-can-meds,train
hachijyojima-hd11-jpn-jodc_jcg,train
hachinohe-375a-jpn-uhslc,train
hakata-hd18-jpn-jodc_jcg,train
hakodate-364a-jpn-uhslc,train
halifax-490-can-meds,train
hamada-ma66-jpn-jodc_jma,train
hanimaadhoo-117b-mdv-uhslc,train
harbor_beach_mi-9075014-usa-noaa,train
harrisville_mi-9075059-usa-noaa,train
harvest_oil_p_ca-594a-usa-uhslc,train
harvey-dvhar01-aus-bom,train
havre_de_grace-8574070-usa-noaa,train
hay_point-59511-aus-bom,train
hillarys-62237-aus-bom,train
hilo_hawaii-060a-usa-uhslc,train
hirarako-0151-jpn-jodc_pahb,train
hiron_point-134a-bgd-uhslc,train
hiroshima-hd14-jpn-jodc_jcg,train
hobart-339a-aus-uhslc,train
hobart-61220-aus-bom,train
holland_cut_near_bethel_island-hol-usa-cdwr,train
holland_mi-9087031-usa-noaa,train
honiara-009b-slb-uhslc,train
honolulu_hawaii-057b-usa-uhslc,train
hovell_pile-60721-aus-bom,train
humboldt_bay_ca-576a-usa-uhslc,train
i_295_bridge-8720357-usa-noaa,train
ibis-ibs-usa-cdwr,train
ilha_fiscal_rj-280a-bra-uhslc,train
irouzaki-ma78-jpn-jodc_jma,train
ishikariko-0145-jpn-jodc_pahb,train
ito-gs19-jpn-jodc_giaj,train
iwanaiko-0137-jpn-jodc_pahb,train
izuhara-hd23-jpn-jodc_jcg,train
jackson_bay-65180-nzl-bom,train
jakarta-161a-idn-uhslc,train
jervis_bay-216470-aus-bom,train
johnston_atoll-1619000-usa-noaa,train
johor_baharu-321a-mys-uhslc,train
juan_fernandez-021b-chl-uhslc,train
juneau-9452210-usa-noaa,train
jurien_bay-jujur01-aus-bom,train
kagoshima-ma42-jpn-jodc_jma,train
kahului-1615680-usa-noaa,train
kamaishi-hd05-jpn-jodc_jcg,train
kanazawako-0105-jpn-jodc_pahb,train
kanton-013b-kir-uhslc,train
kaohsiung-340a-chn-uhslc,train
kapingamarangi-029a-fsm-uhslc,train
kariya-gs17-jpn-jodc_giaj,train
kashimako-0101-jpn-jodc_pahb,train
kashiwazaki-gs08-jpn-jodc_giaj,train
katsuura-gs11-jpn-jodc_giaj,train
kawaihae-552a-usa-uhslc,train
keelung-341a-chn-uhslc,train
kelang-140a-mys-uhslc,train
keling-141a-mys-uhslc,train
kerguelen-180a-fra-uhslc,train
ketchikan_ak-571a-usa-uhslc,train
key_west_fl-242a-usa-uhslc,train
king_cove-9459881-usa-noaa,train
kingston_ontario-13988-can-meds,train
knysna-186a-zaf-uhslc,train
ko_lak-328a-tha-uhslc,train
kobe-ma31-jpn-jodc_jma,train
kochi-ma38-jpn-jodc_jma,train
kodiak_island-9457292-usa-noaa,train
komatsushima-ma36-jpn-jodc_jma,train
kota_kinabalu-386a-mys-uhslc,train
kozushima-hd09-jpn-jodc_jcg,train
kuantan-322a-mys-uhslc,train
kuchinotsu-ma48-jpn-jodc_jma,train
kujiko-0111-jpn-jodc_pahb,train
kukup-325a-mys-uhslc,train
kumano-ma65-jpn-jodc_jma,train
kure-gs13-jpn-jodc_giaj,train
kure-hd13-jpn-jodc_jcg,train
kurihamako-0161-jpn-jodc_pahb,train
kushimoto-353a-jpn-uhslc,train
kushiro-350a-jpn-uhslc,train
kutsugatako-0129-jpn-jodc_pahb,train
kwajalein-1820000-usa-noaa,train
la_jolla_ca-554a-usa-uhslc,train
la_libertad-091a-ecu-uhslc,train
lac_saint_pierre-15975-can-meds,train
lakes_entrance_inner_bullock_island-6057a-aus-bom,train
lameshur_bay-9751381-usa-noaa,train
lamu-149b-ken-uhslc,train
langkawi-142a-mys-uhslc,train
lapalma-lap-esp-cmems,train
las_palmas-217d-esp-uhslc,train
lautoka-402a-fji-uhslc,train
lawma-8764227-usa-noaa,train
lewes-8557380-usa-noaa,train
lewisetta-8635750-usa-noaa,train
lime_tree_bay-9751401-usa-noaa,train
little_current_ontario-11195-can-meds,train
lobos_de_afuera-084a-per-uhslc,train
long_sault_dam-14805-can-meds,train
longview-9440422-usa-noaa,train
lord_howe-399b-aus-uhslc,train
lord_howe_island-57720-aus-bom,train
lorne-60790-aus-bom,train
los_angeles_ca-567a-usa-uhslc,train
low_head-60948-aus-bom,train
lower_escuminac-2000-can-meds,train
lower_iroquois_ontario-14602-can-meds,train
lucinda_offshore-59200-aus-bom,train
luderitz-702a-zaf-uhslc,train
lumut-143a-mys-uhslc,train
mackinaw_city_mi-9075080-usa-noaa,train
macquarie_is-680c-aus-uhslc,train
madeira-715a-bra-uhslc,train
magueyes_island-9759110-usa-noaa,train
maisaka-356a-jpn-uhslc,train
maizuru-hd24-jpn-jodc_jcg,train
maizuru-ma55-jpn-jodc_jma,train
majuro-67680-mhl-bom,train
makurazaki-ma43-jpn-jodc_jma,train
malakal-007b-plw-uhslc,train
mandurah_fishermans_jetty-mhman01-aus-bom,train
manila-370a-phl-uhslc,train
manzanillo-395b-mex-uhslc,train
marquette_cg_mi-9099018-usa-noaa,train
marsden_point-398a-nzl-uhslc,train
marysville_mi-9014084-usa-noaa,train
masirah-113a-omn-uhslc,train
matarani-094b-per-uhslc,train
matsumaeko-0121-jpn-jodc_pahb,train
matsuyama-ma34-jpn-jodc_jma,train
mawson-177a-aus-uhslc,train
mayport_ferry_depot-8720220-usa-noaa,train
mckay_bay_entrance-8726667-usa-noaa,train
melbourne_williamstown-60780-aus-bom,train
melville_bay_gove_harbour-63480-aus-bom,train
menominee_mi-9087088-usa-noaa,train
mera-352a-jpn-uhslc,train
michipicoten_ontario-10750-can-meds,train
midway-050a-usa-uhslc,train
mikuni-gs12-jpn-jodc_giaj,train
milner_bay_groote_eylandt-63511-aus-bom,train
milwaukee_wi-9087057-usa-noaa,train
minamiizu-hd12-jpn-jodc_jcg,train
minamitorishima-049a-jpn-uhslc,train
miri-388a-mys-uhslc,train
misumi-ma46-jpn-jodc_jma,train
miyakejima-357a-jpn-uhslc,train
miyakeshima-ma71-jpn-jodc_jma,train
miyako-ma09-jpn-jodc_jma,train
miyazakiko-0113-jpn-jodc_pahb,train
moji-hd17-jpn-jodc_jcg,train
mokuoloe-1612480-usa-noaa,train
mombasa-101a-ken-uhslc,train
mona_island-9759938-usa-noaa,train
money_point-8639348-usa-noaa,train
montreal_jetee_1-15520-can-meds,train
mooloolaba-59950-aus-bom,train
morgans_point-8770613-usa-noaa,train
morrisburg_ontario-14660-can-meds,train
mossel_bay-185a-zaf-uhslc,train
mourilyan_harbour-59140-aus-bom,train
mtl_rue_frontenac-15540-can-meds,train
muroran-hd03-jpn-jodc_jcg,train
murotomisaki-ma37-jpn-jodc_jma,train
mutsuogawara-0110-jpn-jodc_pahb,train
nagasaki-362a-jpn-uhslc,train
naha-355a-jpn-uhslc,train
nakano_shima-345a-jpn-uhslc,train
nanaoko-0106-jpn-jodc_pahb,train
nantucket_island-8449130-usa-noaa,train
napier-668a-nzl-uhslc,train
nardana_patches-58178-aus-bom,train
nauru-004b-nru-uhslc,train
nawiliwili-1611400-usa-noaa,train
naze-hd22-jpn-jodc_jcg,train
neah_bay_wa-558a-usa-uhslc,train
nelson-077a-nzl-uhslc,train
newcastle-60310-aus-bom,train
newport_ri-253a-usa-uhslc,train
nezugaseki-gs07-jpn-jodc_giaj,train
niigatakonishiko-0103-jpn-jodc_pahb,train
nikolski-9462450-usa-noaa,train
nishinoomote-363a-jpn-uhslc,train
norfolk_island-57700-aus-bom,train
north_sydney-612-can-meds,train
noto-ma80-jpn-jodc_jma,train
nuku_hiva-031a-fra-uhslc,train
numbo_noumea-659-fra-refmar,train
nylesund-823a-nor-uhslc,train
odomari-hd20-jpn-jodc_jcg,train
ofunato-ma10-jpn-jodc_jma,train
oga-gs14-jpn-jodc_giaj,train
ogdensburg_ny-8311030-usa-noaa,train
ogi-gs20-jpn-jodc_giaj,train
oita-hd16-jpn-jodc_jcg,train
okada-ma17-jpn-jodc_jma,train
okinawa-gs21-jpn-jodc_giaj,train
okushiri-gs24-jpn-jodc_giaj,train
olcott_ny-9052076-usa-noaa,train
omaezaki-ma20-jpn-jodc_jma,train
onahama-ma12-jpn-jodc_jma,train
onisaki-gs09-jpn-jodc_giaj,train
oregon_inlet_marina-8652587-usa-noaa,train
osaka-ma30-jpn-jodc_jma,train
oshoro-gs04-jpn-jodc_giaj,train
oswego_ny-9052030-usa-noaa,train
otaru-ma77-jpn-jodc_jma,train
owase-ma24-jpn-jodc_jma,train
pago_bay-1631428-usa-noaa,train
pago_pago-056a-asm-uhslc,train
paita-678b-per-uhslc,train
panama_city-8729108-usa-noaa,train
parry_sound_ontario-11375-can-meds,train
pascagoula_noaa_lab-8741533-usa-noaa,train
patricia_bay_bc-7277-can-meds,train
peel_inlet-plpee01-aus-bom,train
penang-144a-mys-uhslc,train
penrhyn-024a-cok-uhslc,train
perth_barrack_street_jetty-6223a-aus-bom,train
pilots_station_east-8760922-usa-noaa,train
pisco-683b-per-uhslc,train
pluz-pluz-esp-ieo,train
pohnpei-001c-fsm-uhslc,train
point_atkinson_bc-7795-can-meds,train
point_edward_ontario-11940-can-meds,train
point_iroquois_mi-9099004-usa-noaa,train
point_lonsdale-60730-aus-bom,train
point_reyes-9415020-usa-noaa,train
point_richards_corio_bay-60757-aus-bom,train
pointe_claire-15330-can-meds,train
pointe_des_cascades-15220-can-meds,train
pointe_pitre-272a-fra-uhslc,train
port_adelaide_inner_harbor-61610-aus-bom,train
port_adelaide_outer_harbor-61600-aus-bom,train
port_alberni_bc-8575-can-meds,train
port_alexander-9451054-usa-noaa,train
port_alfred-3460-can-meds,train
port_angeles_wa-584a-usa-uhslc,train
port_aux_basques-665-can-meds,train
port_chalmers-669a-nzl-uhslc,train
port_chicago-9415144-usa-noaa,train
port_colborne_ontario-12865-can-meds,train
port_douglas-59040-aus-bom,train
port_dover_ontario-12710-can-meds,train
port_elizabeth-184a-zaf-uhslc,train
port_fourchon-8762075-usa-noaa,train
port_giles-61685-aus-bom,train
port_hardy_bc-8408-can-meds,train
port_hedland-169a-aus-uhslc,train
port_hedland-62590-aus-bom,train
port_isabel-8779770-usa-noaa,train
port_kembla-342a-aus-uhslc,train
port_lambton_ontario-11950-can-meds,train
port_lincoln-61900-aus-bom,train
port_louis-103c-mus-uhslc,train
port_macquarie-207420-aus-bom,train
port_manatee-8726384-usa-noaa,train
port_nolloth-701a-zaf-uhslc,train
port_orford_or-557a-usa-uhslc,train
port_pirie-61800-aus-bom,train
port_saint_francois-3365-can-meds,train
port_san_luis-9412110-usa-noaa,train
port_stanley-290b-gbr-uhslc,train
port_stanley_ontario-12400-can-meds,train
port_stanvac-100a-aus-uhslc,train
port_townsend-9444900-usa-noaa,train
port_weller_ontario-13030-can-meds,train
portland_victoria-129a-aus-uhslc,train
prince_rupert_bc-9354-can-meds,train
prudhoe_bay_ak-579a-usa-uhslc,train
pt_la_rue-121a-syc-uhslc,train
puerto_montt-684a-chl-uhslc,train
puerto_princesa-380a-phl-uhslc,train
queen_charlotte_city-9850-can-meds,train
queenscliff-60732-aus-bom,train
quonset_point-8454049-usa-noaa,train
rarotonga-023b-cok-uhslc,train
red_dog_dock-9491094-usa-noaa,train
redwood_city-9414523-usa-noaa,train
richmond-9414863-usa-noaa,train
rikitea-016a-fra-uhslc,train
rimouski-2985-can-meds,train
riviere_au_renard-2330-can-meds,train
rock_cut_mi-9076024-usa-noaa,train
rockport_tx-769a-usa-uhslc,train
rodrigues-105a-mus-uhslc,train
rosslyn_bay-330a-aus-uhslc,train
rossport_ontario-10220-can-meds,train
rothera-rot-gbr-noc,train
rumoiko-0132-jpn-jodc_pahb,train
sado-ma79-jpn-jodc_jma,train
saigo-ma54-jpn-jodc_jma,train
saint_john-65-can-meds,train
saint_joseph_de_la_rive-3057-can-meds,train
sainte_anne_de_bellevue-16005-can-meds,train
saipan-028b-usa-uhslc,train
sakai-ma53-jpn-jodc_jma,train
sakatako-0102-jpn-jodc_pahb,train
saldahna_bay-703a-zaf-uhslc,train
salvador-708b-bra-uhslc,train
san_andres-737a-col-uhslc,train
san_diego-9410170-usa-noaa,train
san_felix-035a-chl-uhslc,train
san_joaquin_r_at_brandt_bridge-bdt-usa-cdwr,train
san_juan-096a-per-uhslc,train
san_juan_pr-245a-usa-uhslc,train
sand_point-9459450-usa-noaa,train
sandakan-389a-mys-uhslc,train
santa_barbara_ca-577a-usa-uhslc,train
santa_cruz-030a-ecu-uhslc,train
santa_monica_ca-578a-usa-uhslc,train
sault_ste_marie_ontario-10980-can-meds,train
scott_base-663a-nzl-uhslc,train
seattle-9447130-usa-noaa,train
seavey_island-8419870-usa-noaa,train
sedili-324a-mys-uhslc,train
sendaiko-0112-jpn-jodc_pahb,train
sept_iles-2780-can-meds,train
settlement_point-257a-bhs-uhslc,train
shibaura-hd07-jpn-jodc_jcg,train
shibushiko-0114-jpn-jodc_pahb,train
shimizuminato-ma19-jpn-jodc_jma,train
shimokita-ma74-jpn-jodc_jma,train
shimonoseki-ma51-jpn-jodc_jma,train
ship_john_shoal-8537121-usa-noaa,train
shirahama-ma27-jpn-jodc_jma,train
shute_harbour-59410-aus-bom,train
sibolga-122a-idn-uhslc,train
simons_town-221a-zaf-uhslc,train
sitka_ak-559a-usa-uhslc,train
skagway-9452400-usa-noaa,train
skamokawa-9440569-usa-noaa,train
solomons_island-8577330-usa-noaa,train
soma-gs18-jpn-jodc_giaj,train
sorel-15930-can-meds,train
south_trees-h052026a-aus-bom,train
spring_bay-61170-aus-bom,train
springmaid_pier-8661070-usa-noaa,train
st_clair_shores_mi-9034052-usa-noaa,train
st_clair_state_police_mi-9014080-usa-noaa,train
st_helens-9439201-usa-noaa,train
st_johns-276b-can-uhslc,train
st_petersburg_fl-759a-usa-uhslc,train
steveston_bc-7607-can-meds,train
summerstown_ontario-14940-can-meds,train
sumoto-ma32-jpn-jodc_jma,train
susa-gs16-jpn-jodc_giaj,train
suva-67050-fji-bom,train
sydney_port_jackson-213470-aus-bom,train
syowa_antarctica-127a-ata-uhslc,train
tacoma-9446484-usa-noaa,train
tago-gs22-jpn-jodc_giaj,train
tajiri-gs10-jpn-jodc_giaj,train
takamatsu-ma35-jpn-jodc_jma,train
tanegashima-ma75-jpn-jodc_jma,train
tannowa-ma29-jpn-jodc_jma,train
tappi-hd27-jpn-jodc_jcg,train
taranaki-076a-nzl-uhslc,train
tauranga-073a-nzl-uhslc,train
tawau-385a-mys-uhslc,train
tenerife-ten-esp-cmems,train
tenerife-ten-esp-da_mm,train
thessalon_ontario-11070-can-meds,train
thursday_island-58170-aus-bom,train
tioman-323a-mys-uhslc,train
toba-ma23-jpn-jodc_jma,train
tobermory_ontario-11690-can-meds,train
tofino_bc-8615-can-meds,train
tokachiko-0122-jpn-jodc_pahb,train
tokuyama-hd15-jpn-jodc_jcg,train
tolchester_beach-8573364-usa-noaa,train
tomakomaihigashiko-0146-jpn-jodc_pahb,train
toronto_ontario-13320-can-meds,train
tosashimizu-ma39-jpn-jodc_jma,train
toyama-349a-jpn-uhslc,train
trident_pier-8721604-usa-noaa,train
trois_rivieres-3360-can-meds,train
tsushima-ma72-jpn-jodc_jma,train
turner_cut_near_holt-trn-usa-cdwr,train
turtle_head-58180-aus-bom,train
uchiura-ma18-jpn-jodc_jma,train
ulukhaktok-6380-can-meds,train
uno-ma33-jpn-jodc_jma,train
uragami-ma25-jpn-jodc_jma,train
urakawa-hd02-jpn-jodc_jcg,train
urangan-59850-aus-bom,train
us_slip_mi-9076060-usa-noaa,train
ushuaia-600a-arg-uhslc,train
uwajima-ma40-jpn-jodc_jma,train
valdez_ak-562a-usa-uhslc,train
varennes-15660-can-meds,train
venice_island-vne-usa-cdwr,train
victor_harbor-61490-aus-bom,train
victoria_harbour_bc-7120-can-meds,train
village_cove-9464212-usa-noaa,train
virginia_key-8723214-usa-noaa,train
wachapreague-8631044-usa-noaa,train
wajima-gs03-jpn-jodc_giaj,train
wake-051a-usa-uhslc,train
wakkanai-360a-jpn-uhslc,train
wallaroo-61780-aus-bom,train
wauna-9439099-usa-noaa,train
weipa_humbug_point-63620-aus-bom,train
wells-8419317-usa-noaa,train
west_bank_1-8762482-usa-noaa,train
west_channel_pile-60739-aus-bom,train
west_neebish_island_mi-9076027-usa-noaa,train
west_ste_modeste-2595-can-meds,train
western_port_stony_point-60710-aus-bom,train
westport-9441102-usa-noaa,train
wilmington_nc-750a-usa-uhslc,train
windmill_point-8636580-usa-noaa,train
winter_harbour_bc-8735-can-meds,train
wrightsville_beach-8658163-usa-noaa,train
wyandotte_mi-9044030-usa-noaa,train
wyndham-165a-aus-uhslc,train
yaizu-gs23-jpn-jodc_giaj,train
yakutat_ak-570a-usa-uhslc,train
yamba-60130-aus-bom,train
yap-008b-fsm-uhslc,train
yokohamashinko-hd29-jpn-jodc_jcg,train
yokosuka-hd08-jpn-jodc_jcg,train
yonaguni-ma76-jpn-jodc_jma,train
yorktown_uscg_training_center-8637689-usa-noaa,train
yoshioka-hd26-jpn-jodc_jcg,train
zanzibar-151a-tza-uhslc,train
salalah-114a-omn-uhslc,val
pohnpei-67950-fsm-bom,val
awashima-hd25-jpn-jodc_jcg,val
funafuti-67440-tuv-bom,val
cendering-320a-mys-uhslc,val
port_inland_mi-9087096-usa-noaa,val
ludington_mi-9087023-usa-noaa,val
port_vila-046b-vut-uhslc,val
lyttelton-667a-nzl-uhslc,val
tanjong_pagar-699a-sgp-uhslc,val
tarawa_betio-67590-kir-bom,val
nuku_alofa-038a-ton-uhslc,val
syowa_station_antarctica-hd50-ata-jodc_jcg,val
american_falls_ny-9063009-usa-noaa,val
dakar-223e-sen-uhslc,val
hanasaki-ma03-jpn-jodc_jma,val
bermagui-219470-aus-bom,val
palmeira-235a-cpv-uhslc,val
burnie-344a-aus-uhslc,val
reunion-164a-fra-uhslc,val
veracruz_ver-250a-mex-uhslc,val
tomakomainishiko-0136-jpn-jodc_pahb,val
male_hulule-108b-mdv-uhslc,val
east_london-187a-zaf-uhslc,val
lombrum-56130-png-bom,val
new_westminster_bc-7654-can-meds,val
acajutla-082a-slv-uhslc,val
ko_taphao_noi-148a-tha-uhslc,val
cairns-59060-aus-bom,val
ponta_delgada-211a-prt-uhslc,val
vaca_key-8723970-usa-noaa,val
forster-209402-aus-bom,val
tobishima-gs25-jpn-jodc_giaj,val
legaspi-371a-phl-uhslc,val
stanley-sta-gbr-noc,val
settlement_point-257b-bhs-uhslc,val
cristobal-266a-pan-uhslc,val
manta-089b-ecu-uhslc,val
mina_sulman-182a-bhr-uhslc,val
monbetsu-hd01-jpn-jodc_jcg,val
aarhus-aar-dnk-cmems,test
aberdeen-abe-gbr-bodc,test
aberdeen-abe-gbr-cmems,test
ajaccio_aspretto-300-fra-refmar,test
alesund-aes-nor-nhs,test
algeciras-alge-esp-ieo,test
alicante_i-ali-esp-da_mm,test
almeria-alm-esp-cmems,test
ancona-anx-ita-ispra,test
andenes-800a-nor-uhslc,test
arklowharbour-ark-irl-cmems,test
bagenkop-bag-dnk-cmems,test
bakar-bak-hrv-uz,test
ballen-bal-dnk-cmems,test
bangor-ban-gbr-cmems,test
barcelona-bar-esp-cmems,test
bari-bar-ita-ispra,test
barmouth-bar-gbr-bodc,test
barmouth-bar-gbr-cmems,test
barseback-bar-swe-cmems,test
bath-bath-nld-rws,test
bayonne_boucau-94-fra-refmar,test
belum-1263-deu-wsv,test
bergen-bgo-nor-nhs,test
bodo-boo-nor-nhs,test
bonanza-bon-esp-cmems,test
borkum_fischerbalje-bor-deu-bfg,test
bremervorde-71-deu-wsv,test
cadzand-cadzd-nld-rws,test
cagliari-cag-ita-ispra,test
calais-55-fra-refmar,test
carloforte-car-ita-ispra,test
cascais-209a-prt-uhslc,test
castletownbere_port-cas-irl-mi_c,test
catania-cat-ita-ispra,test
ceuta-207a-esp-uhslc,test
cherbourg_60minute-che-fra-cmems,test
civitavecchia-civ-ita-ispra,test
concarneau-160-fra-refmar,test
cordemais_60minute-cor-fra-cmems,test
coruna-cor-esp-cmems,test
crotone-cro-ita-ispra,test
cuxhaven-825a-deu-uhslc,test
cuxhaven_steubenhoft-77-deu-wsv,test
daugavgriva-dau-lva-cmems,test
dover-dov-gbr-bodc,test
drogden-dro-dnk-cmems,test
dunkerque-2-fra-refmar,test
euro_platform-eurpfm-nld-rws,test
ferrol-fer-esp-cmems,test
ferrol2-fer-esp-cmems,test
fishguard-fis-gbr-bodc,test
foglo_degerby-134252-fin-fmi,test
forsmark-for-swe-cmems,test
fos_sur_mer-719-fra-refmar,test
fredericia-fre-dnk-cmems,test
frederikshavn-fre-dnk-cmems,test
furuogrund-2055-swe-smhi,test
fynshav-fyn-dnk-cmems,test
galway_port-gal-irl-mi_c,test
gandia-gan-esp-cmems,test
genova-gen-ita-ispra,test
gibraltar-289a-gbr-uhslc,test
gijon-gij-esp-cmems,test
goidschalxoord-goidsod-nld-rws,test
goteborgorsh-819a-swe-uhslc,test
greifswald_wiek-gre-deu-bfg,test
hamina-ham-fin-cmems,test
hamina_pitajansaari-134254-fin-fmi,test
hammerfest-hft-nor-nhs,test
hanko_pikku_kolalahti-134253-fin-fmi,test
haringvliet_10-harvt10-nld-rws,test
hechthausen-83-deu-wsv,test
helgeroa-hro-nor-nhs,test
hesnaes-hes-dnk-cmems,test
heysham-hey-gbr-bodc,test
hoek_van_holland-hoekvhld-nld-rws,test
